Ключ проблемы,Идентификатор проблемы,Идентификатор родителя,Статус,Создано,Обновленo,Исполнитель,Пользовательское поле (Story Points),Тема,Создатель
ANL-2592,303811,,Готово,19.06.2024 12:47 ,30.07.2024 18:25 ,balitskayaav,2.0,Доработка отчета по История изменений,ivanovamv
ANL-2722,312512,,Готово,30.07.2024 17:52 ,30.07.2024 17:53 ,balitskayaav,,Разобраться с рейтингом АН,balitskayaav
ANL-2676,310363,,Готово,19.07.2024 12:52 ,30.07.2024 17:51 ,balitskayaav,3.0,Выделение информации по компаниям для уникальных сделок,balitskayaav
ANL-2070,260151,,Сделaть,14.11.2023 12:29 ,30.07.2024 15:28 ,balitskayaav,3.0,Статистика производительности по проверкам,kartaevry
ANL-2706,311721,,В работе,26.07.2024 12:37 ,30.07.2024 15:27 ,balitskayaav,3.0,Онбординг сотрудника,balitskayaav
ANL-2693,311376,,Hold,25.07.2024 10:14 ,30.07.2024 15:27 ,balitskayaav,2.0,"Сделать выгрузку по кол-ву созданных объектов недвижимости в ЭР во вкладке ""Объекты""",ignatovaaa
ANL-2601,304622,,В работе,21.06.2024 17:38 ,30.07.2024 15:03 ,nikishinpa,3.0,Проанализировать возможность добавить банк продавца в привелегию,flerinvs
ANL-2699,311446,,В работе,25.07.2024 14:21 ,30.07.2024 14:52 ,mikhaelyanta,3.0,Дешборд ЭР для продаж ВТБ,mikhaelyanta
ANL-2692,311354,,Backlog,25.07.2024 08:58 ,30.07.2024 13:11 ,klekovkinve,,Доработать дэшборд по ипотечным сделкам ВТБ,anpilogovayv
ANL-2530,298421,,Готово,27.05.2024 16:43 ,30.07.2024 12:47 ,mikhaelyanta,3.0,Разработка отчетности ЭлРег (ad-hoc),pichuginaaz
ANL-2536,298783,,Hold,28.05.2024 23:12 ,30.07.2024 10:57 ,nikishinpa,5.0,"Отчет по доле СБР,ЭР в ипотеке ВТБ ГЖ по офисам",altunyanar
ANL-2714,312261,,Backlog,30.07.2024 10:29 ,30.07.2024 10:29 ,flerinvs,,Сформировать бухгалтерский отчет,flerinvs
ANL-2709,311891,,Ревью,29.07.2024 09:22 ,30.07.2024 10:26 ,flerinvs,5.0,Подготовка к ДЕМО,flerinvs
ANL-2707,311775,,В работе,26.07.2024 14:25 ,30.07.2024 10:25 ,flerinvs,3.0,Ревью отчетов когнос по папкам,flerinvs
ANL-1764,192929,,Ревью,17.01.2023 10:06 ,30.07.2024 09:53 ,flerinvs,8.0,"Добавление информации в ""Отчет по компаниям"", ответы на вопросы ",tabakovayn
ANL-2641,307614,,Backlog,05.07.2024 13:28 ,30.07.2024 09:49 ,klekovkinve,3.0,В дэшборды по чатам добавить продукт Ипотечный брокер,zhuravlevaev
ANL-2644,307669,,В работе,05.07.2024 15:26 ,29.07.2024 19:03 ,klekovkinve,3.0,Изучить наработки по юнит-экономике Сделки,klekovkinve
